Entity	Code	Year	Cantril ladder score	"GDP per capita, PPP (constant 2017 international $)"	Population (historical estimates)	"Homicide rate per 100,000 population - Both sexes - All ages"
Latvia	LVA	2017	5.9331	28673.562	1954861	4.143514
Latvia	LVA	2018	5.9397	30051.402	1935632	4.339671
Latvia	LVA	2019	5.95	31038.68	1916552	3.391501
Latvia	LVA	2020	6.032	30568.502	1897057	3.6899357
Latvia	LVA	2021	6.1804	32081.455	1873926	3.0417538
Lebanon	LBN	2011	5.049216	19216.969	5045061	3.3299925
Lebanon	LBN	2012		19202.547	5178338	3.746376
Lebanon	LBN	2013		18180.367	5678859	4.15577
Lebanon	LBN	2014	4.839	16863.637	6274345	3.825102
Lebanon	LBN	2015	5.129	16611.72	6398941	3.6099732
Lebanon	LBN	2016	5.225	17248.19	6258628	3.7548215
Lebanon	LBN	2017	5.1989	17808.076	6109255	4.02668
Lebanon	LBN	2018	5.1973	17970.94	5950842	2.8903487
Lebanon	LBN	2019	4.7715	17172.197	5781912	3.1477506
Lebanon	LBN	2020	4.5838	13780.958	5662924	2.2603166
Liberia	LBR	2011	4.039651	1475.8392	4181148	3.8506157
Liberia	LBR	2012		1538.4072	4331749	3.1165302
Liechtenstein	LIE	2011			36213	0
Liechtenstein	LIE	2012			36526	0
Liechtenstein	LIE	2013			36836	0
Liechtenstein	LIE	2014			37120	2.695672
Liechtenstein	LIE	2015			37378	0
Liechtenstein	LIE	2016			37630	0
Liechtenstein	LIE	2017			37916	2.6393232
Liechtenstein	LIE	2018			38205	2.6191037
Liechtenstein	LIE	2019			38500	2.5986176
Liechtenstein	LIE	2020			38783	2.5802457
Liechtenstein	LIE	2021			39058	5.1230164
Lithuania	LTU	2011	5.588069	25968.584	3099800	6.806896
Lithuania	LTU	2012		27330.896	3063340	6.5941076
Lithuania	LTU	2013		28589.027	3028191	6.5385604
Lithuania	LTU	2014	5.833	29855.832	2994928	5.3089767
Lithuania	LTU	2015	5.813	30748.197	2963764	5.80343
Lithuania	LTU	2016	5.902	31925.803	2933676	5.2153044
Lithuania	LTU	2017	5.9519	33761.87	2904452	3.4429927
Lithuania	LTU	2018	6.149	35446.707	2876128	3.1987455
Lithuania	LTU	2019	6.2155	37184.453	2849083	3.299307
Lithuania	LTU	2020	6.2554	37166.41	2820269	3.5812218
Lithuania	LTU	2021	6.4456	39305.613	2786652	2.5837471
Luxembourg	LUX	2011	7.050853	112998.39	518207	0.7718938
Luxembourg	LUX	2012		112137.13	530596	0
Luxembourg	LUX	2013		113050.664	543068	0.18413985
Luxembourg	LUX	2014	6.946	113313.58	556075	0.71933454
Luxembourg	LUX	2015	6.871	113182.73	569415	0.87810576
Luxembourg	LUX	2016	6.863	116283.7	583355	0.8571169
Luxembourg	LUX	2017	6.9099	114985.84	596290	0.3354115
Luxembourg	LUX	2018	7.0903	114164.47	607920	0.49349168
Luxembourg	LUX	2019	7.2375	114542.5	619981	0.6451894
Luxembourg	LUX	2020	7.3244	111751.31	630401	0.4758887
Luxembourg	LUX	2021	7.404	115683.49	639330	0.6256638
Macao	MAC	2011		135365.39	571014	0.7005217
Macao	MAC	2012		144891.34	582776	0.6863813
Macao	MAC	2013		157602.48	593382	0.16852792
Macao	MAC	2014		151616.4	604163	0.16551715
Macao	MAC	2015		116855.53	615243	0.16253845
Macao	MAC	2016		113941.67	626694	0.1595689
Macao	MAC	2017		122977.51	638612	0.31318069
Macao	MAC	2018		128437.32	650996	0.30722392
Macao	MAC	2019		122822.125	663660	0.30136254
Macao	MAC	2020		55158.71	676287	0.2957342
Macao	MAC	2021		64796.996	686616	0.43693116
Malawi	MWI	2011	4.623671	1383.5809	15146095	2.2646103
Malawi	MWI	2012		1370.3029	15581250	1.7906137
Malaysia	MYS	2011	5.823207	20900.322	29184140	1.8160553
Malaysia	MYS	2012		21690.457	29660216	2.0296552
Malaysia	MYS	2013		22350.908	30134806	2.0806503
Malaysia	MYS	2014	5.77	23328.344	30606454	1.666315
Malaysia	MYS	2015	6.005	24151.26	31068834	1.6028925
Malaysia	MYS	2016	6.084	24859.799	31526414	1.446406
Malaysia	MYS	2017	6.3221	25935.143	31975812	1.1852711
Malaysia	MYS	2018	5.3388	26835.81	32399270	0.996936
Malaysia	MYS	2019	5.3843	27674.402	32804024	0.94500613
Malaysia	MYS	2020	5.3843	25830.973	33199988	0.76204836
Malaysia	MYS	2021	5.7113	26333.156	33573872	0.72377706
Maldives	MDV	2011		17290.209	374450	0.8011954
Maldives	MDV	2012		17126.34	387552	2.580382
Maldives	MDV	2013		17768.61	400741	0.7486375
Maldives	MDV	2015		18051.07	435590	0.9183116
Maldives	MDV	2016		18406.268	454263	3.962554
Maldives	MDV	2017		18973.568	472449	7.1966505
Maldives	MDV	2019	5.1976	20574.404	504518	0.59463876
Malta	MLT	2011	5.959978	32930.297	423577	0.7082638
Malta	MLT	2012		33979.656	429912	2.7913015
Malta	MLT	2013		35339.695	437531	1.5999086
Malta	MLT	2014	6.302	37285.24	446449	1.3439626
Malta	MLT	2015	6.488	39903.938	456585	0.8760815
Malta	MLT	2016	6.527	40319.73	467717	1.06905
Malta	MLT	2017	6.6266	43516.55	479507	1.6684151
Malta	MLT	2018	6.7256	44615.605	491590	1.6273856
Malta	MLT	2019	6.7728	45433.918	503646	0.9927835
Malta	MLT	2020	6.602	40740.97	515364	1.3582791
Malta	MLT	2021	6.4469	44658.72	526751	0.3796882
Mauritania	MRT	2018	4.4903	5367.2163	4270717	1.241011
Mauritania	MRT	2019	4.3746	5505.6465	4383853	1.0949284
Mauritania	MRT	2020	4.2274	5314.8496	4498605	1.0225395
Mauritius	MUS	2011	5.477073	17988.684	1286239	2.4878802
Mauritius	MUS	2012		18566.03	1288753	2.1726573
Mauritius	MUS	2013		19147.676	1290698	2.7117248
Mauritius	MUS	2014	5.477	19844.488	1292112	1.4704591
Mauritius	MUS	2015	5.648	20549.629	1293159	1.6239377
Mauritius	MUS	2016	5.629	21328.688	1293909	1.6229864
Mauritius	MUS	2017	5.8915	22148.625	1294743	2.5487733
Mauritius	MUS	2018	5.8882	23023.5	1295386	2.8563013
Mauritius	MUS	2019	6.1013	23681.58	1296284	2.082885
Mauritius	MUS	2020	6.049	20224.223	1297830	2.6968145
Mauritius	MUS	2021	6.0711	20967.947	1298922	2.6175704
Mexico	MEX	2011	6.740288	18432.37	114150480	23.839584
Mexico	MEX	2012		18838.783	115755912	22.432549
Mexico	MEX	2013		18844.031	117290680	19.663113
Mexico	MEX	2014	7.187	19141.92	118755888	16.849691
Mexico	MEX	2015	6.778	19542.89	120149896	17.28008
Mexico	MEX	2016	6.578	19830.963	121519224	20.209972
Mexico	MEX	2017	6.4882	20032.408	122839256	26.114616
Mexico	MEX	2018	6.5945	20278.217	124013864	29.581371
Mexico	MEX	2019	6.465	20064.5	125085312	29.308798
Mexico	MEX	2020	6.3168	18327.99	125998296	29.185314
Mexico	MEX	2021	6.1276	19086.105	126705136	28.175653
Micronesia (country)	FSM	2019		3540.7825	111392	0.89783937
Moldova	MDA	2011	5.3054	9050.126	3595135	6.0081334
Moldova	MDA	2012		8997.934	3507197	6.529443
Moldova	MDA	2013		9814.323	3416532	6.7027063
Moldova	MDA	2014	5.889	10311.288	3338338	4.822761
Moldova	MDA	2015	5.897	10355.539	3277390	5.7667875
Moldova	MDA	2016	5.838	10938.585	3225125	6.201314
Moldova	MDA	2017	5.6397	11651.187	3180515	4.4332566
Moldova	MDA	2018	5.5285	12367.764	3141839	5.283533
Moldova	MDA	2019	5.6075	13030.183	3109496	3.8913121
Moldova	MDA	2020	5.7664	12201.778	3084848	3.0147362
Mongolia	MNG	2011	4.562082	8685.78	2743946	9.694098
Mongolia	MNG	2012		9586.715	2792354	7.1266165
Mongolia	MNG	2013		10504.814	2845160	7.3106775
Mongolia	MNG	2014	4.874	11107.989	2902826	7.337686
Mongolia	MNG	2015	4.907	11134.802	2964756	7.21815
Mongolia	MNG	2016	4.955	11058.95	3029559	6.0735
Mongolia	MNG	2017	5.1246	11431.498	3096033	6.169192
Mongolia	MNG	2018	5.2854	12052.294	3163994	6.194708
Mongolia	MNG	2019	5.4562	12458.019	3232435	6.341979
Mongolia	MNG	2020	5.6772	11666.779	3294340	6.2228036
Mongolia	MNG	2021	5.7607	11668.431	3347782	6.153327
Montenegro	MNE	2011	5.146845	17290.512	631801	3.3238997
Montenegro	MNE	2012		16805.408	633053	2.6854098
Montenegro	MNE	2013		17384.854	633951	1.5774226
Montenegro	MNE	2014	5.192	17677.787	634301	3.1531096
Montenegro	MNE	2015	5.161	18266.879	633969	2.6815298
Montenegro	MNE	2016	5.237	18801.268	633264	4.4215403
Montenegro	MNE	2017	5.3475	19685.809	632445	2.371774
Montenegro	MNE	2018	5.5229	20690.285	631459	2.2171035
Montenegro	MNE	2019	5.5461	21537.809	630403	3.6485002
Montenegro	MNE	2020	5.5805	18262.236	629058	2.861469
Montenegro	MNE	2021	5.5468	20602.5	627856	2.3890734
Montserrat	MSR	2012			4999	20.100502
Montserrat	MSR	2017			4723	0
Montserrat	MSR	2018			4381	0
Morocco	MAR	2011	4.793151	6064.432	32903708	1.3402748
Morocco	MAR	2012		6160.9985	33352166	1.1483511
Morocco	MAR	2013		6352.433	33803528	1.2690983
Morocco	MAR	2014	5.013	7462.153	34248608	1.0365386
Morocco	MAR	2015	5.151	7687.691	34680456	1.2427748
Morocco	MAR	2016	5.235	7632.1855	35107272	1.6919576
Morocco	MAR	2017	5.2537	7921.619	35528116	2.1419656
Morocco	MAR	2018	5.2081	8072.0864	35927516	1.419525
Morocco	MAR	2019	5.0948	8217.599	36304408	1.7270631
Morocco	MAR	2020	4.918	7545.995	36688768	1.2483383
Morocco	MAR	2021	5.0599	8058.397	37076588	1.9311379
Mozambique	MOZ	2011	4.692764	1092.7732	23760424	3.573169
Myanmar	MMR	2011	5.321977	3018.4617	49794528	2.118707
Myanmar	MMR	2012		3187.115	50218196	2.8595219
Myanmar	MMR	2013		3409.649	50648336	2.4443054
Myanmar	MMR	2014	4.307	3658.5935	51072436	2.408344
Myanmar	MMR	2015	4.395	3748.2942	51483956	2.5289435
Myanmar	MMR	2016	4.545	4109.5576	51892352	2.5803418
Myanmar	MMR	2017	4.3078	4312.9473	52288344	2.6621614
Myanmar	MMR	2018	4.3604	4556.2812	52666016	2.7569962
Myanmar	MMR	2019	4.308	4829.5366	53040212	2.863865
Myanmar	MMR	2020	4.4258	4947.0938	53423200	2.94067
Myanmar	MMR	2021	4.3942	4032.6257	53798088	28.437815
Namibia	NAM	2011	4.885587	9431.044	2132343	14.444222
Namibia	NAM	2012		9747.819	2167474	17.901054
Namibia	NAM	2018	4.6392	10266.171	2405682	19.7865
Namibia	NAM	2019	4.5711	10009.578	2446648	13.038265
Namibia	NAM	2020	4.5741	9048.184	2489099	12.173084
Namibia	NAM	2021	4.4594	9137.797	2530150	12.449852
Nepal	NPL	2011	4.474119	2763.8289	27266398	2.4902444
Nepal	NPL	2012		2886.0974	27330696	2.3490074
Nepal	NPL	2013		2982.287	27381558	2.2131686
Nepal	NPL	2014	4.514	3152.2932	27462110	2.0318909
Nepal	NPL	2015	4.793	3260.035	27610328	2.020983
Nepal	NPL	2016	4.962	3244.6743	27861186	2.1463552
Nepal	NPL	2017	4.8804	3495.5288	28183424	2.18923
Nepal	NPL	2018	4.9127	3719.3079	28506718	2.2100058
Nepal	NPL	2019	5.1372	3922.0813	28832500	2.2856154
Netherlands	NLD	2011	7.512336	52594.23	16701470	0.85621196
Netherlands	NLD	2012		51860.055	16785296	0.86385113
Netherlands	NLD	2013		51640.08	16867352	0.7410766
Netherlands	NLD	2014	7.378	52186.996	16954080	0.725489
Netherlands	NLD	2015	7.339	52974.117	17041110	0.610289
Netherlands	NLD	2016	7.377	53847.83	17124512	0.548921
Netherlands	NLD	2017	7.4413	55088.633	17207204	0.76712084
Netherlands	NLD	2018	7.4876	56060.914	17286042	0.5785014
Netherlands	NLD	2019	7.4489	56784.04	17363260	0.62776226
Netherlands	NLD	2020	7.464	54275.004	17434562	0.61372364
Netherlands	NLD	2021	7.4149	56617.35	17501696	0.65136546
New Zealand	NZL	2011	7.372486	38137.492	4381274	0.89015305
New Zealand	NZL	2012		38780.605	4410285	0.92964524
New Zealand	NZL	2013		39521.074	4450641	1.0335582
New Zealand	NZL	2014	7.286	40353.105	4514198	0.95255077
New Zealand	NZL	2015	7.334	41020.312	4590591	1.0456172
New Zealand	NZL	2016	7.314	41620.348	4668088	1.0711039
New Zealand	NZL	2017	7.3238	42218.54	4746253	0.7374241
New Zealand	NZL	2018	7.3075	42862.07	4838528	1.5500588
New Zealand	NZL	2019	7.2996	43110.37	4959033	2.601313
Nicaragua	NIC	2011	5.114866	4805.4023	5942554	12.418905
Nicaragua	NIC	2012		5042.803	6030605	11.159739
Nicaragua	NIC	2013		5214.529	6119377	9.706867
Nicaragua	NIC	2014	5.828	5385.4985	6208680	8.45591
Nicaragua	NIC	2015	5.992	5563.004	6298610	8.319312
Nicaragua	NIC	2016	6.071	5734.355	6389237	7.0900507
Nicaragua	NIC	2017	6.141	5915.3755	6480534	6.650689
Nicaragua	NIC	2018	6.105	5636.6396	6572234	10.376991
Nicaragua	NIC	2019	6.1371	5348.9873	6663919	7.7281795
Nicaragua	NIC	2021	6.1646	5638.748	6850546	11.006432
Niger	NER	2011	4.121817	1010.32697	17283118	4.8081617
Niger	NER	2012		1075.146	17954410	4.3888946
Nigeria	NGA	2016	5.074	5209.074	188666928	33.604195
Nigeria	NGA	2019	4.7241	5076.368	203304496	21.74079
North Macedonia	MKD	2011	4.369255	13809.965	2097110	1.4305472
North Macedonia	MKD	2012		13730.258	2099486	1.3812957
North Macedonia	MKD	2013		14111.445	2102220	1.046515
North Macedonia	MKD	2014	5.007	14599.242	2105293	1.662478
North Macedonia	MKD	2015	5.121	15141.992	2107965	1.1859796
North Macedonia	MKD	2016	5.175	15556.255	2110194	0.90039027
North Macedonia	MKD	2017	5.1848	15709.287	2111982	1.467818
North Macedonia	MKD	2018	5.2736	16148.459	2113497	1.1828771
North Macedonia	MKD	2019	5.1598	16776.076	2114175	1.1351941
Norway	NOR	2011	7.524001	61157.13	4953565	2.2408123
Norway	NOR	2012		61990.69	5019058	0.53794974
Norway	NOR	2013		61878.977	5080667	0.90539265
Norway	NOR	2014	7.522	62390.13	5137926	0.56443036
Norway	NOR	2015	7.498	62987.516	5190357	0.462396
Norway	NOR	2016	7.537	63104.082	5236591	0.51560277
Norway	NOR	2017	7.5937	64050.758	5277396	0.530565
Norway	NOR	2018	7.5539	64341.258	5312321	0.47060418
Norway	NOR	2019	7.488	64385.008	5348285	0.5235329
Norway	NOR	2020	7.3925	63548	5379836	0.5762254
Norway	NOR	2021	7.3651	65662.17	5403021	0.5367368
Oman	OMN	2011		37745.453	3206883	1.0602238
Oman	OMN	2012		37270.586	3535585	1.1030726
Oman	OMN	2013		36330.48	3816688	2.5414758
Oman	OMN	2014	6.853	35032.258	4009272	0.29930654
Oman	OMN	2015		35188.023	4191784	0.38169974
Oman	OMN	2016		35229.953	4398080	0.36379594
Oman	OMN	2017		34218.387	4541853	0.3742965
Oman	OMN	2018		34212.105	4601160	0.28253767
Oman	OMN	2019		33814.113	4602769	0.49969932
Oman	OMN	2020		33098.21	4543406	0.30813938
Oman	OMN	2021		34294.766	4520474	0.24333748
Pakistan	PAK	2011	5.1487	4082.4495	198602736	6.978756
Pakistan	PAK	2012		4150.3257	202205856	6.847477
Pakistan	PAK	2013		4266.7114	205337552	6.78736
Pakistan	PAK	2014	5.194	4403.673	208251632	6.37498
Pakistan	PAK	2015	5.132	4552.6055	210969296	4.496389
Pakistan	PAK	2016	5.269	4746.718	213524848	3.9882948
Pakistan	PAK	2017	5.4725	4891.7197	216379648	3.8058107
Pakistan	PAK	2018	5.653	5113.434	219731488	3.7504869
Pakistan	PAK	2019	5.6933	5157.5464	223293280	3.6512518
Pakistan	PAK	2020	4.934	5004.352	227196736	3.7368493
Pakistan	PAK	2021	4.5158	5232.1426	231402112	3.9787881
Palau	PLW	2015		18402.53	17822	16.859615
Palau	PLW	2016		18364.48	17840	0
Palau	PLW	2017		17594.69	17857	0
Palau	PLW	2018		17587.088	17887	11.195388
Palestine	PSE	2011	4.55501	5782.6895	4087747	0.7339011
Palestine	PSE	2012		5985.683	4184161	0.69308996
Palestine	PSE	2013		6118.2573	4281800	0.5605127
Palestine	PSE	2014	4.715	5967.073	4380473	0.54788584
Palestine	PSE	2015	4.754	6048.9766	4484615	1.2041172
Palestine	PSE	2016	4.775	6438.9336	4593855	0.41359663
Palestine	PSE	2017	4.7433	6401.7407	4700954	0.7232586
Palestine	PSE	2018	4.6963	6318.21	4805549	0.4994229
Palestine	PSE	2019	4.5528	6245.4487	4909775	0.7128637
Palestine	PSE	2020	4.5167	5402.5386	5019407	0.9562893
Palestine	PSE	2021	4.4825	5643.0723	5133393	0.8766134
Panama	PAN	2011	6.862561	23461.873	3688679	14.883397
Panama	PAN	2012		25302.08	3754871	16.964672
Panama	PAN	2013		26576.863	3821557	17.348953
Panama	PAN	2014	6.786	27440.566	3888795	15.531814
Panama	PAN	2015	6.701	28512.926	3957102	11.90266
Panama	PAN	2016	6.452	29410.635	4026338	10.058772
Panama	PAN	2017	6.43	30526.379	4096071	9.228374
Panama	PAN	2018	6.3213	31125.625	4165258	9.627263
Panama	PAN	2019	6.3048	31543.605	4232538	11.34073
Panama	PAN	2020	6.1796	25510.273	4294391	11.64308
Panama	PAN	2021	6.3091	29037.945	4351264	12.639997
Paraguay	PRY	2011	5.398257	11613.169	5843938	11.242418
Paraguay	PRY	2012		11376.407	5923327	10.95669
Paraguay	PRY	2013		12150.972	6005656	10.057193
Paraguay	PRY	2014	5.878	12616.414	6090727	9.489845
Paraguay	PRY	2015	5.538	12806.097	6177954	9.987132
Paraguay	PRY	2016	5.493	13163.74	6266623	10.675619
Paraguay	PRY	2017	5.6806	13604.175	6355406	8.512441
Paraguay	PRY	2018	5.7427	13848.499	6443337	7.713405
Paraguay	PRY	2019	5.6921	13609.723	6530029	8.483886
Paraguay	PRY	2020	5.6526	13317.321	6618700	7.2672935
Paraguay	PRY	2021	5.5783	13687.655	6703802	7.8313804
Peru	PER	2011	5.25838	10539.982	29477722	5.4854984
Peru	PER	2012		11084.874	29749592	6.615217
Peru	PER	2013		11620.645	30038810	6.701331
Peru	PER	2014	5.824	11773.944	30353956	6.8393073
Peru	PER	2015	5.743	12015.1875	30711864	7.316391
Peru	PER	2016	5.715	12321.318	31132776	7.8213387
Peru	PER	2017	5.6632	12442.746	31605488	7.868887
Peru	PER	2018	5.6971	12696.236	32203946	7.613974
Peru	PER	2019	5.7968	12735.168	32824864	7.2658343
Peru	PER	2020	5.8396	11176.919	33304768	5.7138987
Philippines	PHL	2011	4.825137	5995.431	96337912	8.811692
Philippines	PHL	2012		6298.16	98032320	8.654289
Philippines	PHL	2016	5.43	7616.05	104875272	10.636445
Philippines	PHL	2017	5.5241	8001.7563	106738496	7.746033
Philippines	PHL	2018	5.6314	8365.732	108568832	5.204993
Philippines	PHL	2019	6.006	8731.861	110380800	4.315968
Poland	POL	2011	5.803043	24874.172	38620848	1.0926741
Poland	POL	2012		25258.594	38625872	1.0588757
Poland	POL	2013		25490.328	38607352	0.79000497
Poland	POL	2014	5.791	26488.201	38581880	0.74387264
Poland	POL	2015	5.835	27667.69	38553148	0.772959
Poland	POL	2016	5.973	28497.104	38532108	0.6747619
Poland	POL	2017	6.123	29958.121	38532816	0.74481976
Poland	POL	2018	6.1817	31739.258	38521464	0.70869595
Poland	POL	2019	6.1863	33159.75	38493600	0.6572521
Poland	POL	2020	6.1661	32546.826	38428368	0.692197
Poland	POL	2021	6.1228	34915.523	38307724	0.71265
Portugal	PRT	2011	5.327314	31304.816	10564820	1.0790523
Portugal	PRT	2012		30156.701	10522085	1.1594659
Portugal	PRT	2013		30042.89	10464537	1.3760765
Portugal	PRT	2014	5.102	30444.6	10408379	0.88390386
Portugal	PRT	2015	5.123	31118.791	10365436	0.9647448
Portugal	PRT	2016	5.195	31847.537	10332751	0.63874555
Portugal	PRT	2017	5.4104	33044.715	10307528	0.7373251
Portugal	PRT	2018	5.6925	34040.727	10289833	0.78718466
Portugal	PRT	2019	5.9109	34945.66	10289921	0.70943195
Portugal	PRT	2020	5.929	32011.324	10298186	0.7865459
Portugal	PRT	2021	6.0163	33674.527	10290109	0.7968822
Puerto Rico	PRI	2011	6.592634	33224.574	3691615	31.93725
Puerto Rico	PRI	2012		33638.875	3657989	27.747494
Puerto Rico	PRI	2013		33922.168	3615028	25.56004
Puerto Rico	PRI	2014		34070.26	3560008	19.775223
Puerto Rico	PRI	2015	7.039	34311.04	3497335	17.556225
Puerto Rico	PRI	2016		34539.594	3432745	20.508396
Puerto Rico	PRI	2017		34363.754	3366407	21.625423
Puerto Rico	PRI	2018		34223.1	3319269	20.004404
Puerto Rico	PRI	2019		34792.656	3292888	19.223255
Puerto Rico	PRI	2020		32387.16	3271570	16.994926
Qatar	QAT	2011	6.569056	111879.75	1804175	0.22170842
Qatar	QAT	2012		110931.51	1905670	0.3673268
Qatar	QAT	2013		109625.63	2035509	0.4421517
Qatar	QAT	2014	6.611	106141.33	2214471	0.4064188
Qatar	QAT	2015	6.375	101971.99	2414580	0.2484912
Qatar	QAT	2016	6.375	97783.12	2595175	0.46239817
Qatar	QAT	2017	6.3745	92177.59	2711764	0.44251794
Qatar	QAT	2018	6.3745	91461.62	2766743	0.36143726
Qatar	QAT	2019		90840.43	2807242	0.39184463
Qatar	QAT	2020		89019.07	2760390	0.43472198
Qatar	QAT	2021		92862.35	2688239	0.33479217
Romania	ROU	2011	5.178499	21446.771	20220286	1.0138334
Romania	ROU	2012		21957.15	20137112	1.0527822
Romania	ROU	2013		22098.33	20066550	1.0863853
Romania	ROU	2014	5.124	23095.28	19995836	1.6253384
Romania	ROU	2015	5.528	23937.46	19906078	1.7029973
Romania	ROU	2016	5.825	24763.135	19797820	1.5456247
Romania	ROU	2017	5.9452	26948.158	19698852	1.2944916
Romania	ROU	2018	6.0697	28741.227	19606778	1.275069
Romania	ROU	2019	6.1237	30006.336	19524212	1.2497303
Romania	ROU	2020	6.14	29062.473	19442040	1.4453217
Romania	ROU	2021	6.477	30776.93	19328558	1.2623806
Russia	RUS	2011	5.284313	24972.078	143364544	11.282427
Russia	RUS	2012		25933.293	143629360	11.311754
Russia	RUS	2013		26332.396	143956864	11.137363
Russia	RUS	2014	5.716	26057.156	144285072	11.446784
Russia	RUS	2015	5.856	25488.096	144668384	11.506314
Russia	RUS	2016	5.963	25490.709	145109152	10.93246
Russia	RUS	2017	5.8097	25926.443	145452544	9.139064
Russia	RUS	2018	5.6479	26656.41	145652288	8.214083
Russia	RUS	2019	5.546	27254.574	145742288	7.68617
Russia	RUS	2020	5.4772	26583.797	145617328	7.3459663
Russia	RUS	2021	5.4586	27960.102	145102752	6.7993197
Rwanda	RWA	2012		1637.1008	10840331	2.3615508
Rwanda	RWA	2013		1674.0609	11101352	3.2338412
Rwanda	RWA	2014	3.465	1735.5454	11368450	3.7648048
Rwanda	RWA	2015	3.515	1844.7169	11642963	2.5165424
Rwanda	RWA	2016	3.471	1907.6816	11930902	3.2855864
Rwanda	RWA	2017	3.4081	1934.9729	12230343	3.8429024
Rwanda	RWA	2018	3.3338	2050.441	12531810	2.274213
Rwanda	RWA	2019	3.3123	2191.4016	12835029	3.1476364
Rwanda	RWA	2020	3.4147	2067.6416	13146367	3.590347
Saint Kitts and Nevis	KNA	2011		24876.697	47605	71.456345
Saint Kitts and Nevis	KNA	2012		24672.4	47754	37.7145
Saint Kitts and Nevis	KNA	2016		29329.479	47814	62.777924
Saint Kitts and Nevis	KNA	2017		29333.393	47811	48.131756
Saint Kitts and Nevis	KNA	2018		29950.494	47787	48.156445
Saint Kitts and Nevis	KNA	2019		31194.736	47739	25.151169
Saint Kitts and Nevis	KNA	2020		26700.668	47666	20.989662
Saint Kitts and Nevis	KNA	2021		26485.816	47631	29.40775
Saint Lucia	LCA	2011		15133.397	172157	26.72158
Saint Lucia	LCA	2012		15017.746	173139	22.527206
Saint Lucia	LCA	2013		14469.648	173992	18.967861
Saint Lucia	LCA	2014		14605.221	174814	19.45041
Saint Lucia	LCA	2015		14339.109	175638	15.943242
Saint Lucia	LCA	2016		14810.637	176429	17.0055
Saint Lucia	LCA	2017		15247.459	177175	27.658068
Saint Lucia	LCA	2018		15622.778	177894	20.799604
Saint Lucia	LCA	2019		15460.801	178594	25.758259
Saint Lucia	LCA	2020		11651.167	179245	29.011948
Saint Lucia	LCA	2021		13045.955	179663	38.96433
Saint Martin (French part)	MAF	2011			36370	22.008253
Saint Martin (French part)	MAF	2012			36052	5.551546
Saint Martin (French part)	MAF	2013			35664	22.447004
Saint Martin (French part)	MAF	2014			35280	22.688278
Saint Martin (French part)	MAF	2015			35042	17.133066
Saint Martin (French part)	MAF	2016			34833	28.726551
Saint Vincent and the Grenadines	VCT	2016		13356.81	105971	37.749203
Saint Vincent and the Grenadines	VCT	2017		13633.048	105568	36.949837
Saint Vincent and the Grenadines	VCT	2018		14084.938	105297	32.294678
Saint Vincent and the Grenadines	VCT	2019		14189.96	104940	18.10843
Saint Vincent and the Grenadines	VCT	2020		13473.595	104644	31.538958
Saint Vincent and the Grenadines	VCT	2021		13695.039	104340	30.671318
Samoa	WSM	2013		5659.8516	199952	3.0009153
Samoa	WSM	2017		6238.796	207642	3.3713899
Samoa	WSM	2018		6139.523	209715	6.1993027
San Marino	SMR	2011		63458.816	32518	0
Sao Tome and Principe	STP	2011		3398.276	186058	3.225035
Saudi Arabia	SAU	2018	6.3747	45840.84	35018132	0.6396686
Saudi Arabia	SAU	2019	6.4065	44954.992	35827364	0.7954814
Serbia	SRB	2011	4.564279	14926.494	7620925	1.6927093
Serbia	SRB	2012		14896.884	7591357	1.4490178
Serbia	SRB	2013		15402.562	7566674	1.8370023
Serbia	SRB	2014	5.123	15229.067	7543965	1.5641652
Serbia	SRB	2015	5.177	15581.014	7519501	1.3298764
Serbia	SRB	2016	5.395	16185.742	7493288	1.5480521
Serbia	SRB	2017	5.3982	16614.014	7464882	1.1520613
Serbia	SRB	2018	5.603	17455.945	7433825	1.4124639
Serbia	SRB	2019	5.7782	18310.08	7401056	1.1890196
Serbia	SRB	2020	6.0779	18265.967	7358010	1.1416138
Serbia	SRB	2021	6.178	19831.297	7296771	1.0552616
Seychelles	SYC	2011		23617.03	93842	17.05266
Seychelles	SYC	2012		23681.348	95319	4.1968756
Seychelles	SYC	2013		24647.078	96730	18.611576
Seychelles	SYC	2014		25359.846	98016	16.326365
Seychelles	SYC	2015		26198.72	99260	7.0536075
Seychelles	SYC	2016		27234.414	100521	11.939289
Seychelles	SYC	2017		28116.71	101828	6.875519
Seychelles	SYC	2018		28740.55	103120	8.729304
Seychelles	SYC	2019		29369.53	104386	9.581068
Seychelles	SYC	2020		26879.77	105545	8.52838
Seychelles	SYC	2021		28760.516	106486	4.6961365
Sierra Leone	SLE	2011	3.585802	1450.4935	6612390	2.8280268
Sierra Leone	SLE	2012		1627.34	6788594	1.6645583
Sierra Leone	SLE	2015	4.635	1513.562	7314779	1.6951996
Sierra Leone	SLE	2020	3.8494	1586.196	8233973	2.1374865
Singapore	SGP	2011	6.549302	81258.086	5281351	0.30295318
Singapore	SGP	2012		82805.62	5381003	0.2044228
Singapore	SGP	2013		85400.73	5478063	0.31032914
Singapore	SGP	2014	6.798	87616.64	5570505	0.25132388
Singapore	SGP	2015	6.739	89160.73	5650020	0.24778682
Singapore	SGP	2016	6.572	91146.09	5711936	0.31512976
Singapore	SGP	2017	6.3432	95310.336	5764489	0.19082357
Singapore	SGP	2018	6.262	98336.95	5814543	0.15478449
